1,AN,864
2,AP,89742
3,AR,961
4,AS,19598
5,BR,23111
6,CH,1389
7,CT,7790
8,DA,406
9,DL,11778
10,GA,3383
11,GJ,14517
12,HR,8961
13,HP,1511
14,JK,7198
15,JH,9736
16,KA,83567
17,KL,20394
18,LA,765
19,MP,11510
20,MH,171859
21,MN,1608
22,ML,1133
23,MZ,459
24,NL,1383
25,OD,23715
26,PY,3706
27,PB,14165
28,RJ,14330
29,SK,529
30,TN,53541
31,TS,22919
32,TR,2488
33,UT,4444
